det1_rich_modular_eleside_box_XpYm_5_4  |                root  |det1_rich_modular_eleside_box_XpYm_5_4  |     773.4375*mm -632.8125*mm -2112.88770018516*mm  |-15.7086378290157*deg -20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_5_5  |                root  |det1_rich_modular_eleside_box_XpYm_5_5  |     773.4375*mm -773.4375*mm -2112.88770018516*mm  |-18.9704078084865*deg -20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_0_6  |                root  |det1_rich_modular_eleside_box_XpYm_0_6  |      70.3125*mm -914.0625*mm -2248.90109883555*mm  |-22.1094483437517*deg -1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_0_7  |                root  |det1_rich_modular_eleside_box_XpYm_0_7  |     70.3125*mm -1054.6875*mm -2248.90109883555*mm  |-25.1148348861446*deg -1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_1_6  |                root  |det1_rich_modular_eleside_box_XpYm_1_6  |     210.9375*mm -914.0625*mm -2240.09048279166*mm  |-22.1094483437517*deg -5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_1_7  |                root  |det1_rich_modular_eleside_box_XpYm_1_7  |    210.9375*mm -1054.6875*mm -2240.09048279166*mm  |-25.1148348861446*deg -5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_2_6  |                root  |det1_rich_modular_eleside_box_XpYm_2_6  |     351.5625*mm -914.0625*mm -2222.36446349237*mm  |-22.1094483437517*deg -8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_2_7  |                root  |det1_rich_modular_eleside_box_XpYm_2_7  |    351.5625*mm -1054.6875*mm -2222.36446349237*mm  |-25.1148348861446*deg -8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_3_6  |                root  |det1_rich_modular_eleside_box_XpYm_3_6  |     492.1875*mm -914.0625*mm -2195.50710881194*mm  |-22.1094483437517*deg -12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_3_7  |                root  |det1_rich_modular_eleside_box_XpYm_3_7  |    492.1875*mm -1054.6875*mm -2195.50710881194*mm  |-25.1148348861446*deg -12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_4_6  |                root  |det1_rich_modular_eleside_box_XpYm_4_6  |     632.8125*mm -914.0625*mm -2159.17769992276*mm  |-22.1094483437517*deg -16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_4_7  |                root  |det1_rich_modular_eleside_box_XpYm_4_7  |    632.8125*mm -1054.6875*mm -2159.17769992276*mm  |-25.1148348861446*deg -16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_0_8  |                root  |det1_rich_modular_eleside_box_XpYm_0_8  |     70.3125*mm -1195.3125*mm -2248.90109883555*mm  |-27.9794743884801*deg -1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_1_8  |                root  |det1_rich_modular_eleside_box_XpYm_1_8  |    210.9375*mm -1195.3125*mm -2240.09048279166*mm  |-27.9794743884801*deg -5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_2_8  |                root  |det1_rich_modular_eleside_box_XpYm_2_8  |    351.5625*mm -1195.3125*mm -2222.36446349237*mm  |-27.9794743884801*deg -8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_3_8  |                root  |det1_rich_modular_eleside_box_XpYm_3_8  |    492.1875*mm -1195.3125*mm -2195.50710881194*mm  |-27.9794743884801*deg -12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_0_9  |                root  |det1_rich_modular_eleside_box_XpYm_0_9  |     70.3125*mm -1335.9375*mm -2248.90109883555*mm  |-30.6997225508144*deg -1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_1_9  |                root  |det1_rich_modular_eleside_box_XpYm_1_9  |    210.9375*mm -1335.9375*mm -2240.09048279166*mm  |-30.6997225508144*deg -5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_2_9  |                root  |det1_rich_modular_eleside_box_XpYm_2_9  |    351.5625*mm -1335.9375*mm -2222.36446349237*mm  |-30.6997225508144*deg -8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XpYm_0_10  |                root  |det1_rich_modular_eleside_box_XpYm_0_10  |     70.3125*mm -1476.5625*mm -2248.90109883555*mm  |-33.2748879848349*deg -1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_0  |                root  |det1_rich_modular_eleside_box_XmYm_0_0  |     -351.5625*mm -70.3125*mm -2222.36446349237*mm  |-1.78991060824607*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_1  |                root  |det1_rich_modular_eleside_box_XmYm_0_1  |    -351.5625*mm -210.9375*mm -2222.36446349237*mm  |-5.35582504285519*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_0  |                root  |det1_rich_modular_eleside_box_XmYm_1_0  |     -492.1875*mm -70.3125*mm -2195.50710881194*mm  |-1.78991060824607*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_1  |                root  |det1_rich_modular_eleside_box_XmYm_1_1  |    -492.1875*mm -210.9375*mm -2195.50710881194*mm  |-5.35582504285519*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_0  |                root  |det1_rich_modular_eleside_box_XmYm_2_0  |     -632.8125*mm -70.3125*mm -2159.17769992276*mm  |-1.78991060824607*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_1  |                root  |det1_rich_modular_eleside_box_XmYm_2_1  |    -632.8125*mm -210.9375*mm -2159.17769992276*mm  |-5.35582504285519*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_0  |                root  |det1_rich_modular_eleside_box_XmYm_3_0  |     -773.4375*mm -70.3125*mm -2112.88770018516*mm  |-1.78991060824607*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_1  |                root  |det1_rich_modular_eleside_box_XmYm_3_1  |    -773.4375*mm -210.9375*mm -2112.88770018516*mm  |-5.35582504285519*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_0  |                root  |det1_rich_modular_eleside_box_XmYm_4_0  |     -914.0625*mm -70.3125*mm -2055.96443210814*mm  |-1.78991060824607*deg --23.9694823177597*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_1  |                root  |det1_rich_modular_eleside_box_XmYm_4_1  |    -914.0625*mm -210.9375*mm -2055.96443210814*mm  |-5.35582504285519*deg --23.9694823177597*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_2  |                root  |det1_rich_modular_eleside_box_XmYm_0_2  |     -70.3125*mm -351.5625*mm -2248.90109883555*mm  |-8.88065915052024*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_3  |                root  |det1_rich_modular_eleside_box_XmYm_0_3  |     -70.3125*mm -492.1875*mm -2248.90109883555*mm  |-12.3390872783262*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_2  |                root  |det1_rich_modular_eleside_box_XmYm_1_2  |    -210.9375*mm -351.5625*mm -2240.09048279166*mm  |-8.88065915052024*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_3  |                root  |det1_rich_modular_eleside_box_XmYm_1_3  |    -210.9375*mm -492.1875*mm -2240.09048279166*mm  |-12.3390872783262*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_2  |                root  |det1_rich_modular_eleside_box_XmYm_2_2  |    -351.5625*mm -351.5625*mm -2222.36446349237*mm  |-8.88065915052024*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_3  |                root  |det1_rich_modular_eleside_box_XmYm_2_3  |    -351.5625*mm -492.1875*mm -2222.36446349237*mm  |-12.3390872783262*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_2  |                root  |det1_rich_modular_eleside_box_XmYm_3_2  |    -492.1875*mm -351.5625*mm -2195.50710881194*mm  |-8.88065915052024*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_3  |                root  |det1_rich_modular_eleside_box_XmYm_3_3  |    -492.1875*mm -492.1875*mm -2195.50710881194*mm  |-12.3390872783262*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_2  |                root  |det1_rich_modular_eleside_box_XmYm_4_2  |    -632.8125*mm -351.5625*mm -2159.17769992276*mm  |-8.88065915052024*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_3  |                root  |det1_rich_modular_eleside_box_XmYm_4_3  |    -632.8125*mm -492.1875*mm -2159.17769992276*mm  |-12.3390872783262*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_5_2  |                root  |det1_rich_modular_eleside_box_XmYm_5_2  |    -773.4375*mm -351.5625*mm -2112.88770018516*mm  |-8.88065915052024*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_5_3  |                root  |det1_rich_modular_eleside_box_XmYm_5_3  |    -773.4375*mm -492.1875*mm -2112.88770018516*mm  |-12.3390872783262*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_6_2  |                root  |det1_rich_modular_eleside_box_XmYm_6_2  |    -914.0625*mm -351.5625*mm -2055.96443210814*mm  |-8.88065915052024*deg --23.9694823177597*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_6_3  |                root  |det1_rich_modular_eleside_box_XmYm_6_3  |    -914.0625*mm -492.1875*mm -2055.96443210814*mm  |-12.3390872783262*deg --23.9694823177597*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_4  |                root  |det1_rich_modular_eleside_box_XmYm_0_4  |     -70.3125*mm -632.8125*mm -2248.90109883555*mm  |-15.7086378290157*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_5  |                root  |det1_rich_modular_eleside_box_XmYm_0_5  |     -70.3125*mm -773.4375*mm -2248.90109883555*mm  |-18.9704078084865*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_4  |                root  |det1_rich_modular_eleside_box_XmYm_1_4  |    -210.9375*mm -632.8125*mm -2240.09048279166*mm  |-15.7086378290157*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_5  |                root  |det1_rich_modular_eleside_box_XmYm_1_5  |    -210.9375*mm -773.4375*mm -2240.09048279166*mm  |-18.9704078084865*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_4  |                root  |det1_rich_modular_eleside_box_XmYm_2_4  |    -351.5625*mm -632.8125*mm -2222.36446349237*mm  |-15.7086378290157*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_5  |                root  |det1_rich_modular_eleside_box_XmYm_2_5  |    -351.5625*mm -773.4375*mm -2222.36446349237*mm  |-18.9704078084865*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_4  |                root  |det1_rich_modular_eleside_box_XmYm_3_4  |    -492.1875*mm -632.8125*mm -2195.50710881194*mm  |-15.7086378290157*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_5  |                root  |det1_rich_modular_eleside_box_XmYm_3_5  |    -492.1875*mm -773.4375*mm -2195.50710881194*mm  |-18.9704078084865*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_4  |                root  |det1_rich_modular_eleside_box_XmYm_4_4  |    -632.8125*mm -632.8125*mm -2159.17769992276*mm  |-15.7086378290157*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_5  |                root  |det1_rich_modular_eleside_box_XmYm_4_5  |    -632.8125*mm -773.4375*mm -2159.17769992276*mm  |-18.9704078084865*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_5_4  |                root  |det1_rich_modular_eleside_box_XmYm_5_4  |    -773.4375*mm -632.8125*mm -2112.88770018516*mm  |-15.7086378290157*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_5_5  |                root  |det1_rich_modular_eleside_box_XmYm_5_5  |    -773.4375*mm -773.4375*mm -2112.88770018516*mm  |-18.9704078084865*deg --20.105509787916*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_6  |                root  |det1_rich_modular_eleside_box_XmYm_0_6  |     -70.3125*mm -914.0625*mm -2248.90109883555*mm  |-22.1094483437517*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_7  |                root  |det1_rich_modular_eleside_box_XmYm_0_7  |    -70.3125*mm -1054.6875*mm -2248.90109883555*mm  |-25.1148348861446*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_6  |                root  |det1_rich_modular_eleside_box_XmYm_1_6  |    -210.9375*mm -914.0625*mm -2240.09048279166*mm  |-22.1094483437517*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_7  |                root  |det1_rich_modular_eleside_box_XmYm_1_7  |   -210.9375*mm -1054.6875*mm -2240.09048279166*mm  |-25.1148348861446*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_6  |                root  |det1_rich_modular_eleside_box_XmYm_2_6  |    -351.5625*mm -914.0625*mm -2222.36446349237*mm  |-22.1094483437517*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_7  |                root  |det1_rich_modular_eleside_box_XmYm_2_7  |   -351.5625*mm -1054.6875*mm -2222.36446349237*mm  |-25.1148348861446*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_6  |                root  |det1_rich_modular_eleside_box_XmYm_3_6  |    -492.1875*mm -914.0625*mm -2195.50710881194*mm  |-22.1094483437517*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_7  |                root  |det1_rich_modular_eleside_box_XmYm_3_7  |   -492.1875*mm -1054.6875*mm -2195.50710881194*mm  |-25.1148348861446*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_6  |                root  |det1_rich_modular_eleside_box_XmYm_4_6  |    -632.8125*mm -914.0625*mm -2159.17769992276*mm  |-22.1094483437517*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_4_7  |                root  |det1_rich_modular_eleside_box_XmYm_4_7  |   -632.8125*mm -1054.6875*mm -2159.17769992276*mm  |-25.1148348861446*deg --16.334822780686*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_0_8  |                root  |det1_rich_modular_eleside_box_XmYm_0_8  |    -70.3125*mm -1195.3125*mm -2248.90109883555*mm  |-27.9794743884801*deg --1.79078465932895*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_1_8  |                root  |det1_rich_modular_eleside_box_XmYm_1_8  |   -210.9375*mm -1195.3125*mm -2240.09048279166*mm  |-27.9794743884801*deg --5.37937899111207*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_2_8  |                root  |det1_rich_modular_eleside_box_XmYm_2_8  |   -351.5625*mm -1195.3125*mm -2222.36446349237*mm  |-27.9794743884801*deg --8.98929934516281*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_box_XmYm_3_8  |                root  |det1_rich_modular_eleside_box_XmYm_3_8  |   -492.1875*mm -1195.3125*mm -2195.50710881194*mm  |-27.9794743884801*deg --12.6356250930211*deg 0*deg  | ffa500   |                 Box  |                                     56.25*mm 56.25*mm 51*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
